ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime
118.0,Thanks for Sharing,R,9/19/2013 0:00,"Stuart Blumberg, Matt Winston",Stuart Blumberg,"Comedy, Drama","$1,065,881.00 ",112 minutes
119.0,The Girl King,Premiere,12/3/2015 0:00,Michel Marc Bouchard,Mika Kaurismäki,"Drama, Romance",-,106 minutes
120.0,Whiskey Tango Foxtrot,R,3/3/2016 0:00,Robert Carlock,"John Requa, Glenn Ficarra","Comedy, Drama","$23,083,334.00 ",111 minutes
121.0,The Gift,R,8/6/2015 0:00,Joel Edgerton,Joel Edgerton,Mystery & Suspense,"$58,978,653.00 ",108 minutes
122.0,Chronicle,PG-13,2/2/2012 0:00,"Josh Trank, Max Landis","Joshua Trank, Josh Trank","Art House & International, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy","$60,800,000.00 ",83 minutes
123.0,Vacation,R,7/28/2015 0:00,"Jonathan M. Goldstein, Jonathan Goldstein, John Francis Daley","Jonathan M. Goldstein, Jonathan Goldstein, John Francis Daley","Action & Adventure, Comedy","$104,384,188.00 ",99 minutes
124.0,Jessabelle,PG-13,11/6/2014 0:00,"Ben Garant, Robert Ben Garant",Kevin Greutert,"Drama, Horror",-,90 minutes
125.0,Alien Outpost,NR,1/29/2015 0:00,"Blake Clifton, Jabbar Raisani",Jabbar Raisani,Action & Adventure,-,90 minutes
126.0,Terminator Genisys,PG-13,6/30/2015 0:00,"Laeta Kalogridis, Patrick Lussier",Alan Taylor,Action & Adventure,"$440,603,537.00 ",119 minutes
127.0,The Hobbit: The Desolation of Smaug,PG-13,12/12/2013 0:00,"J.R.R. Tolkien, Philippa Boyens, Fran Walsh, Guillermo del Toro, Peter Jackson",Peter Jackson,"Action & Adventure, Science Fiction & Fantasy","$958,400,000.00 ",161 minutes
128.0,The Right Kind of Wrong,R,3/13/2014 0:00,"Megan Martin, Tim Sandlin",Jeremiah S. Chechik,"Comedy, Romance","$2,022.00 ",97 minutes
129.0,Holy Motors,NR,10/16/2012 0:00,Leos Carax,Leos Carax,"Drama, Science Fiction & Fantasy, Special Interest","$641,054.00 ",115 minutes
130.0,The Five-Year Engagement,R,4/26/2012 0:00,"Jason Segel, Nicholas Stoller",Nicholas Stoller,Comedy,"$28,644,770.00 ",124 minutes
131.0,Rock the Kasbah,R,10/22/2015 0:00,Mitch Glazer,Barry Levinson,Drama,"$3,020,664.00 ",100 minutes
132.0,The Good Lie,PG-13,10/2/2014 0:00,"Shawn Linden, Margaret Nagle","Shawn Linden, Philippe Falardeau","Drama, Mystery & Suspense",-,110 minutes
133.0,Cooties,R,9/17/2015 0:00,"Leigh Whannell, Ian Brennan","Cary Murnion, Jonathan Milott","Comedy, Horror",-,87 minutes
134.0,Rampart,R,2/9/2012 0:00,"James Ellroy, Oren Moverman",Oren Moverman,"Action & Adventure, Drama, Mystery & Suspense","$969,239.00 ",107 minutes
135.0,Mama,PG-13,1/17/2013 0:00,"Neil Cross, Andy Muschietti, Barbara Muschietti",Andy Muschietti,"Art House & International, Horror","$71,588,220.00 ",100 minutes
136.0,The Purge,R,6/6/2013 0:00,James DeMonaco,James DeMonaco,"Mystery & Suspense, Science Fiction & Fantasy","$64,400,000.00 ",85 minutes
137.0,Big Eyes,PG-13,12/24/2014 0:00,"Larry Karaszewski, Scott Alexander",Tim Burton,Drama,"$28,883,511.00 ",106 minutes
138.0,Ant-Man,PG-13,7/16/2015 0:00,"Edgar Wright, Stan Lee, Joe Cornish, Paul Rudd, Adam McKay, Larry Lieber, Jack Kirby",Peyton Reed,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy","$518,178,306.00 ",115 minutes
139.0,American Heist,R,7/23/2015 0:00,Raul Inglis,Sarik Andreasyan,"Action & Adventure, Drama",-,94 minutes
140.0,The Kings of Summer,R,5/30/2013 0:00,Chris Galletta,Jordan Vogt-Roberts,Comedy,"$1,300,000.00 ",95 minutes
141.0,Barbie: Princess Charm School,PG,12/2/2012 0:00,"Steve Granat, Elise Allen, Cynde Clark","Zeke Norton, Ezekiel Norton","Animation, Kids & Family",-,86 minutes
142.0,"Love, Rosie",R,2/5/2015 0:00,Juliette Towhidi,Christian Ditter,"Comedy, Romance","$4,439,431.00 ",102 minutes
